,name,address,description
0,Sunrise,"​Ленина, 27, Бердск, Новосибирская область","Ресторан с названием 'Sunrise' по адресу ​Ленина, 27, Бердск с рейтингом 4 из 5 и средним чеком 700 рублей. У 'Sunrise' в меню представлены блюда разных кухонь, включая азиатскую, итальянскую, грузинскую и другие. График работы: вс-чт 12.00-22.00, пт-сб 12.00-24.00. Сайт: https://vk.com/sunrise.cafe"
1,Времена года,"Зелёная Роща, 10/1, Бердск, Новосибирская область","Ресторан с названием 'Времена года' по адресу Зелёная Роща, 10/1, Бердск с рейтингом 4 из 5 и средним чеком 1500 рублей. 'Времена года' специализируется на русской, европейской и авторской кухне. Хорошее место для проведения банкетов с живой музыкой и танцполов. График работы: пн-чт 11.00-23.00, пт-сб 13.00-02.00, вс 12.00-24.00. Сайт: r-vremenagoda.ru"
2, Вкусно - и точка,"ул. Максима Горького 2/1, Бердск, Новосибирская область","Автокафе 'Вкусно - и точка' по адресу ул. Максима Горького, 2/1, Бердск с рейтингом 2.7 из 5 и средним чеком 350 рублей. 'Вкусно - и точка' специализируется на фастфуде и заказах на вынос. График работы: пн-вс 06:00-05:00. Сайт: vkusnoitochka.ru"
3, Додо Пицца,"​Первомайская, 121а, Бердск, Новосибирская область","Сеть пиццерий 'Додо Пицца' по адресу ул. ​Первомайская, 121а, Бердск с рейтингом 3.7 из 5 и средним чеком до 700 рублей. 'Додо Пицца' специализируется на итальянской кухне, особенно на пиццах. График работы: пн-вс 09:00-23:00. Сайт: app.dodopizza.ru"
4,Гриль №1,"​Первомайская, 18 ст1, Бердск, Новосибирская область","Ресторан быстрого питания 'Гриль №1' по адресу ​Первомайская, 18 ст1, Бердск с рейтингом 3.9 из 5 и средним чеком 350 рублей. 'Гриль №1' специализируется на шавермах, пицце и лапше wok. График работы: круглосуточно. Есть филиал в Искитиме. Сайт: grill1.org" 
5,Пицца Синица,"​Ленина, 56, Бердск, Новосибирская область","Сеть пиццерий 'Пицца Синица' по адресу ​Ленина, 56, Бердск с рейтингом 4.2 из 5 и средним чеком 350 рублей. 'Пицца Синица' специализируется на итальянской кухне: пицца, пончики, крылышки, наггетсы. График работы: пн-вс 11:00-23:00" 
6,Rostic`s,"​Ленина, 90, Бердск, Новосибирская область","Ресторан быстрого обслуживания 'Rostic`s' по адресу ​Ленина, 90, Бердск с рейтингом 2.1 из 5 и средним чеком 350 рублей. 'Rostic`s' специализируется на фастфуде и бургерах. График работы: пн-вс 09:00-24:00" 
7,Вилка Ложка,"​Ленина, 29, Бердск, Новосибирская область","Фермерское кафе 'Вилка Ложка' по адресу ​Ленина, 29, Бердск с рейтингом 4 из 5 и средним чеком 350 рублей. 'Вилка Ложка' специализируется на домашней еде из деревенских продуктов. График работы: пн-вс 09:00-21:00" 
8,Грильница,"​Вокзальная, 25, Бердск, Новосибирская область","Сеть ресторанов вкусной еды 'Грильница' по адресу ​Вокзальная, 25, Бердск с рейтингом 3.7 из 5 и средним чеком 400 рублей. 'Грильница' специализируется на шавермах, пицце и лапше wok. График работы: пн-вс 10:00-23:00" 
9,Кенгуру,"​Комсомольская, 1/1, Бердск, Новосибирская область","Кафе и служба доставки еды 'Кенгуру' по адресу ​Комсомольская, 1/1, Бердск с рейтингом 4 из 5 и средним чеком 500 рублей. 'Кенгуру' специализируется на суши, шаурме, пицце, wok. График работы: пн-вс 11:00-22:00" 
10,Тут уют,"​Зелёная Роща, 9/4, Бердск, Новосибирская область","Кафе 'Тут уют' по адресу ​Зелёная Роща, 9/4, Бердск с рейтингом 4.3 из 5 и средним чеком 150 рублей. 'Тут уют' специализируется на европейской кухне и бургерах. График работы: пн-вс 9:00-20:00" 
11,Рыба-пила и ела,"​Зелёная Роща, 15/3, Бердск, Новосибирская область","Кафе 'Рыба-пила и ела' по адресу ​Зелёная Роща, 15/3, Бердск с рейтингом 3 из 5 и средним чеком 150 рублей. 'Рыба-пила и ела' специализируется на пицце, салатах и картофеле-фри. График работы: пн-вс 10:00-22:00" 
12,Арарат,"Улица Микрорайон, 25в, Бердск, Новосибирская область","Кафе 'Арарат' по адресу Улица Микрорайон, 25в, Бердск с рейтингом 4 из 5. 'Арарат' специализируется на шаурме, шашлыках и хот-доге. График работы: пн-вс 9:00-22:00" 
13,Altcafe,"​Свердлова, 4, Бердск, Новосибирская область","Кофейня 'Altcafe' по адресу ​Свердлова, 4, Бердск с рейтингом 4.3 из 5 и средним чеком 400 рублей. 'Altcafe' специализируется на пасте, вафлях, салатах и сендвичах. Есть бизнес-ланч и завтраки, напитки и кофе с собой. График работы: пн-вс 9:00-22:30" 
14,Хан Буз,"​Ленина, 41а, Бердск, Новосибирская область","Кафе 'Хан Буз' по адресу ​Ленина, 41а, Бердск с рейтингом 4.2 из 5 и средним чеком - 400 рублей. 'Хан Буз' специализируется на восточной и бурятской кухне. График работы: пн-вс 9:00-21:00" 
15,Хочу хинкал!,"​Ленина, 29, Бердск, Новосибирская область","Кафе 'Хочу хинкал!' по адресу ​Ленина, 29, Бердск с рейтингом 4.1 из 5 и средним чеком - 300 рублей. 'Хочу хинкал!' специализируется на грузинской и кавказской кухне. График работы: пн-вс 10:00-21:00" 
16,Левенбург,"​Ясная Поляна, 16, Бердск, Новосибирская область","​Немецкий пивной ресторан 'Левенбург' по адресу ​Ясная Поляна, 16, Бердск с рейтингом 4 из 5 и средним чеком - 960 рублей. 'Левенбург' специализируется на пиве, немецкой и европейской кухне. График работы: пн-вс 12:00-24:00" 
17,Клевер бар,"​Ленина, 29, Бердск, Новосибирская область","Ирландский паб 'Клевер бар' по адресу ​Ленина, 29, Бердск с рейтингом 4.3 из 5 и средним чеком - 700 рублей. 'Клевер бар' специализируется на европейской и авторской кухне. График работы: пн-вс 14:00-01:00" 
18,Ну и что?,"Комсомольская, 1/1, Бердск, Новосибирская область","Кофе-бар 'Ну и что?' по адресу Комсомольская, 1/1, Бердск с рейтингом 4.4 из 5 и средним чеком - 400 рублей. 'Ну и что?' специализируется на европейской и авторской кухне: бургеры, блины, паста, поке, вафли, напитки с собой. График работы: пн-вс 8:00-24:00" 
19,ХашЛаваш,"​Ленина, 90, Бердск, Новосибирская область","Кафе 'ХашЛаваш' по адресу ​Ленина, 90, Бердск с рейтингом 4.1 из 5 и средним чеком - 1000 рублей. 'ХашЛаваш' специализируется на кавказской и армянской кухне: шашлык, хинкали, хачапури, супы. График работы: пн-вс 12:00-24:00" 
20,Японский домик,"​Ленина, 67, Бердск, Новосибирская область","Суши-бар 'Японский домик' по адресу ​Ленина, 67, Бердск с рейтингом 4.3 из 5 и средним чеком - 500 рублей. 'Японский домик' специализируется на японской кухне и сушах. График работы: пн-вс 10:00-23:00" 
21,Лес,"​Речкуновская Зона Отдыха, 6/10, Бердск, Новосибирская область","Ресторан 'Лес' по адресу ​Речкуновская Зона Отдыха, 6/10, Бердск с рейтингом 4.7 из 5 и средним чеком - 1600 рублей. 'Лес' специализируется на японской кухне и русской, европейской кухнях. График работы: пн-вс 11:00-22:00" 
22,Бобёр,"Космическая ул., 50, село Морозово, Новосибирская область","Ресторан 'Бобёр' по адресу Космическая ул., 50, село Морозово с рейтингом 5 из 5 и средним чеком - 1600 рублей. 'Бобёр' специализируется на европейской и авторской кухне, гриль. График работы: пн-вс 12:00-24:00" 
23,Khutor'OK,"микрорайон Индустриальный, 52Б, Искитим, Новосибирская область","Кафе 'Khutor'OK' по адресу микрорайон Индустриальный, 52Б, Искитим с рейтингом 4.9 из 5. 'Khutor'OK' готовит мясные блюда, гарниры, салаты и десерты. График работы: пн-вс 7:30-21:00" 
24,Кафе Журавли,"ул. Гагарина, 45А/2, станция Евсино, Новосибирская область","Кафе Журавли по адресу ул. Гагарина, 45А/2, станция Евсино с рейтингом 5 из 5 и средним чеком - 250 рублей. 'Журавли' специализируется на кавказской и русской кухне. График работы: круглосуточно" 
25,Чак Нори,"бул. Ветеранов Войны, 14А, рабочий поселок Линёво, Новосибирская область","Кафе 'Чак Нори' по адресу бул. Ветеранов Войны, 14А, рабочий поселок Линёво с рейтингом 4.2 из 5. 'Чак Нори' готовит суши, бургеры и пиццу. График работы: пн-вс 10:00-22:00" 
26,Чайхана Ташкент,"Листвянская ул., 4/1, рабочий поселок Линёво, Новосибирская область","Чайхана Ташкент по адресу Листвянская ул., 4/1, рабочий поселок Линёво с рейтингом 4.8 из 5 и средним чеком от 200 рублей. «Чайхана Ташкент» — это ресторан, где можно отведать блюда узбекской кухни, такие как лагман, шурпа, плов, манты и шашлык. График работы: пн-вс 09:00-22:00" 
27,Шашлык и шаурма,"ул. Романова, 2, Черепаново, Новосибирская область","Кафе 'Шашлык и шаурма' по адресу ул. Романова, 2, Черепаново с рейтингом 4.3 из 5 и средним чеком 150 рублей. 'Шашлык и шаурма' специализируется на кавказской кухне. График работы: пн-вс 09:00-20:00" 
28,Белые розы,"Ленинская ул., 37, рабочий посёлок Маслянино, Новосибирская область","Кафе 'Белые розы' по адресу Ленинская ул., 37, рабочий посёлок Маслянино с рейтингом 4.4 из 5. 'Белые розы' специализируется на домашней кухне"
29,Coffee Pride,"ул. Школьная, Черепаново, Новосибирская область","Кофейня 'Coffee Pride' по адресу ул. Школьная, Черепаново с рейтингом 4.7 из 5 и средним чеком 150 рублей. 'Coffee Pride' специализируется на кофе и напитках. График работы: пн-вс 09:00-20:00" 
30,Эконива,"Берёзовая ул., 15А/3, село Мамоново, Новосибирская область","Кафе 'Эконива' по адресу Берёзовая ул., 15А/3, село Мамоново с рейтингом 4.4 из 5.График работы: пн-вс 10:00-21:00" 
31,Белые журавли,"Центральная ул., 89, село Журавлёво, Новосибирская область","Кафе 'Белые журавли' по адресу Центральная ул., 89, село Журавлёво с рейтингом 4.9 из 5 и средним чеком - 300 рублей. Кафе «Белые журавли» — это место, где можно вкусно и сытно перекусить во время поездки. График работы: круглосуточно" 
32,Журавли,"Центральная ул., 6, село Журавлёво, Новосибирская область","Кафе 'Журавли' по адресу Центральная ул., 6, село Журавлёво с рейтингом 4.8 из 5 и средним чеком - 200 рублей. Кафе «Журавли» — это место, где можно вкусно и сытно поесть, а также отдохнуть от дороги. В меню представлены различные блюда, такие как шашлыки, манты, салаты, выпечка и многое другое. График работы: круглосуточно" 
33,Центральное,"село Сокур, 2-й квартал, 21, Новосибирская область","Кафе 'Центральное' по адресу село Сокур, 2-й квартал, 21 с рейтингом 4.1 из 5. Кафе «Центральное» — это место, где можно насладиться вкусной едой и приятной атмосферой. Гости отмечают, что кухня здесь очень вкусная, а персонал внимательный и отзывчивый. График работы: 11:00-19:00" 
34,Максим,"Дорожная ул., 37/1, рабочий посёлок Мошково, Новосибирская область","Кафе 'Максим' по адресу Дорожная ул., 37/1, рабочий посёлок Мошково с рейтингом 4.6 из 5. 'Максим' специализируется на узбекской кухне. График работы: пн-вс 06:00-03:00" 
35,Модное место,"ул. Новосибирское ш., 7, Болотное, Новосибирская область","Кафе 'Модное место' по адресу ул. Новосибирское ш., 7, Болотное с рейтингом 4.4 из 5 и средним чеком 200р. 'Модное место' специализируется на русской и европейской кухне. Кафе «Модное место» — это место, где можно вкусно и сытно поесть, остановившись в дороге. Время работы: круглосуточно" 
36,Цезарь-Road 149,"Болотнинский район, Р-255 Сибирь, 149-й километр, Новосибирская область","Кафе 'Цезарь-Road 149' по адресу Болотнинский район, Р-255 Сибирь, 149-й километр с рейтингом 4.9 из 5. Кафе «Цезарь-Road 149» — это место, где вы можете насладиться вкусной едой по доступным ценам. В меню представлены блюда восточной, кавказской и русской кухни, такие как плов, шашлык, хинкали, солянка и многое другое. Время работы: круглосуточно" 
37,Рефид,"Советская ул., 58, рабочий посёлок Колывань, Новосибирская область","Кафе 'Рефид' по адресу Советская ул., 58, рабочий посёлок Колывань с рейтингом 4.3 из 5. 'Рефид' специализируется на европейской кухне: пиццы, кофе, том ям. График работы: пн-вс 10:00-22:00" 
38,Чайхана,"Советская ул., 43Б, рабочий посёлок Коченёво, Новосибирская область","Кафе 'Чайхана' по адресу Советская ул., 43Б, рабочий посёлок Коченёво с рейтингом 4.3 из 5. 'Чайхана' специализируется на узбекской кухне. График работы: пн-вс 8:00-20:00"
39,Актин,"Коченёвский муниципальный район, Р-254 Иртыш, 1370-й километр, 1, Новосибирская область","Кафе 'Актин' по адресу Коченёвский муниципальный район, Р-254 Иртыш, 1370-й километр, 1 с рейтингом 4.4 из 5 и средним чеком 300 рублей. Кафе «Актин» — это место, где вы можете не только вкусно поесть, но и отдохнуть после долгой дороги. В кафе есть номера с кондиционером, телевизором и холодильником, а также диван и кресла. График работы: круглосуточно" 
40,Лада,"Коченёвский муниципальный район, Р-254 Иртыш, 1333-й километр, Новосибирская область","Кафе домашней кухни 'Лада' по адресу Коченёвский муниципальный район, Р-254 Иртыш, 1333-й километр, с рейтингом 4.4 из 5 и средним чеком 300 рублей. График работы: круглосуточно" 
41,Остров’Ок,"Чулым, Новосибирская область","Кафе домашней кухни 'Остров’Ок' по адресу Чулым с рейтингом 5 из 5. Кафе «Остров’Ок» — это уютное место, где можно вкусно и недорого поесть. График работы: круглосуточно" 
42,Хуторок,"Каргатский район, Р-254 Иртыш, 1282-й километр, 2, Новосибирская область","Кафе домашней кухни 'Хуторок' по адресу Каргатский район, Р-254 Иртыш, 1282-й километр, 2, с рейтингом 5 из 5. Кафе «Хуторок» — это место, где можно не только вкусно поесть, но и насладиться атмосферой старины. Интерьер кафе выполнен в старорусском стиле, с использованием настоящей старинной утвари, такой как самовары, чугунки и ступки. График работы: круглосуточно" 
43,У Шмаковых,"Каргатский район, Р-254 Иртыш, 1271-й километр, 5, Новосибирская область","Кафе домашней кухни 'У Шмаковых' по адресу Каргатский район, Р-254 Иртыш, 1271-й километр, 5, с рейтингом 4.9 из 5. Очень хорошее, чистое, ухоженное место, чтобы покушать отдохнуть. График работы: круглосуточно" 
44,Горизонт,"Убинский район, Р-254 Иртыш, 1232-й километр, 4, Новосибирская область","Кафе домашней кухни 'Горизонт' по адресу Убинский район, Р-254 Иртыш, 1232-й километр, 4, с рейтингом 4.5 из 5. Отличная стоянка. Места валом. Магазин. Стирка, душ, массаж. Кафешка отличная. Вкусно, цены нормальные, ассортимента хватает. Обслуживание хорошее. Туалеты. Рядом азс. График работы: круглосуточно" 
45,Шашлычная на Набережной,"Набережная ул., 120, Купино, Новосибирская область","Кафе 'Шашлычная на Набережной' по адресу Набережная ул., 120, Купино с рейтингом 4.4 из 5. 'Шашлычная на Набережной' специализируется на кавказской кухне: шашлык,люля и шаурма . График работы: пн-вс 11:00-22:00"
46,Как дома,"ул. Дзержинского, 5, рабочий посёлок Чистоозёрное, Новосибирская область","Кафе 'Как дома' по адресу ул. Дзержинского, 5, рабочий посёлок Чистоозёрное с рейтингом 4.8 из 5. 'Как дома' специализируется на домашней кухне . График работы: пн-вс 9:00-21:00"
47,Эдельвейс,"ул. Ленина, 80, Татарск, Новосибирская область","Кафе 'Эдельвейс' по адресу ул. Ленина, 80, Татарск с рейтингом 3.9 из 5. 'Эдельвейс' специализируется на русской и европейской кухне. График работы: пн-вс 8:00-24:00"
48,Бузовар,"Чановский район, Р-254 Иртыш, 1047-й километр, 2, Новосибирская область","Кафе бурятской кухни 'Бузовар' по адресу Чановский район, Р-254 Иртыш, 1047-й километр, 2, с рейтингом 4.9 из 5. Очень вкусно готовят. Порции большие. График работы: 7:00-2:00" 
49,На посту,"Барабинский район, Р-254 Иртыш, 1150-й километр, 1, Новосибирская область","Кафе 'На посту' по адресу Барабинский район, Р-254 Иртыш, 1150-й километр, 1, с рейтингом 4.4 из 5. Кафе «На посту» — это место, где можно не только вкусно поесть, но и отдохнуть после долгой дороги. Здесь есть большая парковка для легковых и грузовых автомобилей, а также круглосуточный магазин, где можно купить все необходимое." 
50,Ной,"ул. Карла Маркса, 100, Барабинск, Новосибирская область","Кафе 'Ной' по адресу ул. Карла Маркса, 100, Барабинск с рейтингом 4.4 из 5. Кафе «Ной» — лучшее заведение в Барабинске. Всегда всё очень вкусно. Цены приемлемые. В наличии лосось, креветки, салаты. График работы: 11:00-23:00"
51,Ели Пели,"ул. Карла Либкнехта, 1, Куйбышев, Новосибирская область","Кафе 'Ели Пели' по адресу ул. Карла Либкнехта, 1, Куйбышев с рейтингом 4.5 из 5. Караоке-клуб «Ели Пели» — это место, где вы можете провести время в уютной атмосфере, наслаждаясь вкусной едой и музыкой. График работы: 12:00-22:00"
52,Quattro,"ул. Закраевского, 105, Куйбышев, Новосибирская область","Кафе 'Quattro' по адресу ул. Закраевского, 105, Куйбышев с рейтингом 4.6 из 5. Пиццерия «Quattro» — это уютное место с итальянской кухней. График работы: 10:00-23:00"